A|art.|un|
AFRAID|adj.|timorosi|
AFRESH|adv.|denov|
AFT|adv.|in detra; in li stern|
AFTER|conj.|posque|
AFTER|prep.|pos|
AFTER ALL|adv.|in fine, pos omno, in summa|
AFTERBIRTH|n.|placenta|
AFTERNOON|n.|posmidí|
AFTERWARDS|adv.|poy, plu tard, pos to|
AGAIN|adv.|denov|
AGAINST|prep.|contra; (towards) vers; (close to) apu|
AGATE|n.|agate|
AGE|v.|far old, devenir old|
AGE|n.|etá; (period) era, epoca, témpor|
AGENCY|n.|agentie, agentura; (place) agentia|
AGENDA|n.|labor-órdine, agende|
AGENT|n.|agente, comissionario|
AGGLOMERATE|v.|aglomerar (-ation)|
AGGLUTINATE|v.|aglutinar (-ation)|
AGGRANDIZE|v.|agrandar|
AGGRAVATE|v.|iritar; (worsen) agravar, apejorar|
AGGREAGATE|n.|totale, totalitá|
AGGREAGATE|v.|amassar, acumular|
AGGRESSION|n.|agression|
AGGRIEVE|v.|chagrinar, ofender, vexar|
AGHAST|adj.|consternat, horret|
AGILE|adj.|agil (-itá), alert|
AGITATE|v.|agitar (-ation, -ator)|
AGLOW|adj.|ardent, fervent|
AGNOSTIC|n.|agnostico|
AGNOSTIC|adj.|agnostic|
AGO|n.|ante|
AGONIZE|v.|tormentar, agonisar|
AGONY|n.|torment(es), agonie|
AGRARIAN|adj.|agrari|
AGREE|v.|consentir, concordar, acordar|
AGREEABLE|adj.|complesent, agreabil|
AGREEMENT|n.|consentiment, acorde, concordie, convention|
AGRICULTURE|n.|agricultura (-al)|
AGROPHOBIA|n.|agrofobie|
AGROUND|adv.|ye funde|
AGUE|n.|febre (intermittent)|
AID|n.|apoy, auxilie (-ar), sucurse (-er), assistentie|
AIDE-DE-CAMP|n.|adjutante|
AIL|v.|haver maladie, esser malad|
AIM|n.|scope, intention|
AIM|v.|visar; (gun) apuntar|
AIR|v.|aerar, ventilar|
AIR|n.|aere; (mus.) arie, melodie; (appearance) aspecte, aparentie; (manner) geste, maniere|
AIRTIGHT|adj.|hermetic, ínpenetrabil|
AIRY|adj.|bon ventilat; spaciosi|
AISLE|n.|ale|
AJAR|adj.|mi-apert|
AKIN|adj.|parent; afini|
ALABASTER|n.|alabastre|
ALACK|interj.|o ve!|
ALACRITY|n.|promptitá, alegritá, aviditá|
ALARM|n.|timore|
ALARM|v.|alarmar; (frighten) aterrer|
ALARMCLOCK|n.|alarmhorloge|
ALAS|interj.|ve|
ALBATROSS|n.|albatroz|
ALBEIT|conj.|malgré que, etsi, benque|
ALBUM|n.|album|
ALBUMEN|n.|albumine, blanc ovin|
ALCHEMY|n.|alchimie|
ALCOHOL|n.|alcohol, sprite|
ALCOVE|n.|alcove, niche|
ALDER|n.|alne|
ALDERMAN|n.|chef consiliero|
ALE|v.|bir|
ALEMBIC|n.|alambic|
ALERT|adj.|alert, vigil, atentiv|
ALGEBRA|n.|algebra|
ALIAS|n.|fals nomine|
ALIBI|n.|alibi|
ALIEN|adj.|foren, extran|
ALIEN|n.|foreno, extrano|
ALIENATE|v.|alienar, vendir|
ALIGHT|adj.|brulant|
ALIGHT|v.|descender de, expassuar|
ALIGN|v.|alinear (-ament)|
ALIKE|adj.|simil, egal, identic, pari|
ALIMENT|n.|aliment (-ari, -ation), nutriment|
ALIMONY|n.|aliment-moné|
ALIVE|adj.|vivent; vivid, alert, vivaci|
ALKALI|n.|alcali (-in)|
ALL|n.|(everything) omnicos; (the whole) li totalité, lu tot|
ALL|adj.|(all the) omni|
ALL BUT|adv.|presc|
ALL OVER EUROPE|adv.|tra tot Europa|
ALL THE YEAR ROUND|adv.|li tot annu|
ALLAY|v.|calmar, aleviar, moderar, quietar, mitigar|
ALLEGE|v.|afirmar, asserter|
ALLEGIANCE|n.|loyalitá, fidelitá, homage, deventie|
ALLEGORY|n.|allegorie, parábol|
ALLEVIATE|v.|aleviar (-ation), mitigar|
ALLEY|n.|stradette|
ALLIANCE|n.|alliantie|
ALLIED|adj.|afini, parent; (persons) alliat|
ALLIGATOR|n.|caiman, alligator|
ALLITERATION|n.|alitteration|
ALLOCATE|v.|distribuer, assignar, portionar|
ALLOT|v.|distribuer, portionar|
ALLOTMENT|n.|(share) parte, portion, quote; (of land) parcelle|
ALLOW|v.|admisser; (grant) conceder, permisser|
ALLOW A DISCOUNT|v.|rabattar|
ALLOWANCE|n.|portion; (due allowance) egarde, consideration; (monetary) assignament; (discount) rabatte|
ALLOY|n.|mixtura, alliage|
ALLOY|v.|alligar|
ALLRIGHT|a.|bon, in órdine|
ALLUDE|v.|aluder (-Sion)|
ALLURE|v.|seducter, atraer, lurar|
ALLUVIUM|n.|alluvie (-al)|
ALLY|n.|alliate|
ALLY|v.|alliar, junter, unir|
ALMANAC|n.|almanac, calendare|
ALMIGHTY|adj.|omnipotent|
ALMOND|n.|mandul (-iero)|
ALMOST|adv.|presc; quasi|
ALMS|n.|almosne|
ALOE|n.|aloe|
ALOFT|adv.|supra, in supra|
ALONE|adj.|sol, solitari|
ALONE|adv.|(only) solmen|
ALONG|prep.|along|
ALONG WITH|prep.|junt con|
ALONGSIDE|adv.|(naut.) bord a borde|
ALOOF|adj.|reservat|
ALOUD|adv.|vocosi, con voce, audibilmen|
ALP|n.|alpe (-in)|
ALPACA|n.|alpaca|
ALPHABET|n.|alfabete (-ic)|
ALREADY|adv.|ja|
ALSO|conj.|anc|
ALSO|adv.|(moreover) adplu|
ALTAR|n.|altare|
ALTER|v.|alterar (-ation), changear, mutar, modificar|
ALTERNATE|adj.|alternant|
ALTERNATE|v.|alternar (-ation, -ative, -ator)|
ALTHOUGH|conj.|benque, etsi|
ALTITUDE|n.|altore, altitá; (geogr.) altitudine|
ALTO|n.|alto|
ALTOGETHER|adv.|(as a whole) in tot; (wholly) totmen, absolutmen|
ALTRUISM|n.|altruisme|
ALUM|n.|alune|
ALUMINIUM|n.|aluminium|
ALVEOLAR|adj.|alveolari|
ALWAYS|adv.|sempre|
AMALGAM|n.|amalgam|
AMANUENSIS|n.|secretario, assistente|
AMARANTH|n.|amarante|
AMASS|v.|amassar, acumular|
AMATEUR|n.|dilettante (-ic)|
AMAZE|v.|astonar (-ant, -ament)|
AMAZON|n.|amazona|
AMBASSADOR|n.|ambassador|
AMBER|n.|ambre|
AMBERGRIS|n.|ambregrise|
AMBIDEXTEROUS|adj.|ambidéxteri|
AMBIGUOUS|adj.|ambigui (-tá)|
AMBITION|n.|ambitie (-osi)|
AMBLE|v.|amblar|
AMBROSIA|n.|ambrosie (-al)|
AMBULANCE|n.|ambulantie|
AMBUSH|v.|inboscar|
AMBUSH|n.|inboscada|
AMELIORATE|v.|ameliorar (-ation)|
AMEN|adv., interj.|amen|
AMENABLE|adj.|ductibil, influentiabil, docil, complesent|
AMEND|v.|corecter, emendar|
AMENITY|n.|agreabilitá|
AMETHYST|n.|ametist|
AMIABLE|adj.|amabil, afabil, suavi, amical|
AMICABLE|adj.|amical|
AMID|prep.|ínter, in medie de|
AMISS|adj.|incorect, fals|
AMMETER|n.|amper-metre|
AMMONIA|n.|amoniac|
AMMUNITION|n.|munition|
AMOK|adj.|amocc|
AMONG|prep.|ínter|
AMOROUS|adj.|amorosi|
AMORPHOUS|adj.|amorf, sin forme|
AMOUNT|adj.|equivaler|
AMOUNT|n.|summa, quantitá|
AMOUNT|v.|(to amount to) summar|
AMOUR|n.|amor-afere|
AMPHIBIAN|n.|amfibie|
AMPHIBIOUS|adj.|amfibic|
AMPLE|adj.|ampli (-ficar, -fication, -ficator), suficent|
AMPLITUDE|n.|amplore|
AMPUTATE|v.|amputar (-ation)|
AMULET|n.|amulete, talisman|
AMUSE|v.|amusar (-ation, -ant), divertisser|
AMUSING|adj.|drolli|
AN|art.|un|
ANACHRONISM|n.|anacronisme|
ANAEMIA|n.|anemie (-ic)|
ANAESTHESIA|n.|anestesie|
ANAESTHETIC|n.|anestetico|
ANAESTHETIC|adj.|anestetic (-a)|
ANAGRAM|n.|anagramma|
ANALOGY|n.|analog (-ie)|XXX FIXME -- analog/ie
ANALYSE|v.|analisar|
ANALYSIS|n.|analise|
ANALYTICAL|adj.|analitic|
ANARCHY|n.|anarchic (-ist)|XXX FIXME -- anarchic/anarchie
ANATHEMA|n.|anatema|
ANATOMY|n.|anatomie (-ic, -ico, -isar), structura|
ANCESTOR|n.|antecessor (-al), preavo|
ANCESTRY|n.|progenitores, antecessores, devenientie|
ANCHOR|n.|ancre (-ar, -age)|
ANCHORITE|n.|anacorete, eremite|
ANCHOVY|n.|anchove|
ANCIENT|adj.|ancian, antiqui, old|
ANCILLARY|adj.|suplementari, auxiliari|
AND|conj.|e|
AND SO ON|adv.|et cetera|
ANECDOTE|n.|anecdote|
ANEMOMETER|n.|anemometre|
ANEMONE|n.|anemone|
ANENT|prep.|pri, concernent|
ANEURISM|n.|aneurisme|
ANEW|adv.|denov|
ANGEL|n.|ángel (-ic)|
ANGER|v.|colerar|
ANGER|n.|colere (-osi)|
ANGLE|v.|croc-piscar|
ANGLE|n.|angul (-ari)|
ANGRY|adj.|incolerat, coleric|
ANGUISH|n.|anxietá, angustie, torment|
ANILINE|n.|aniline|
ANIMADVERSION|n.|blama, reproche, reprimande|
ANIMAL|adj.|animalic|
ANIMAL|n.|bestie, animale, brute|
ANIMALCULA|n.|infusories|
ANIMATE|v.|animar, inspirar|
ANIMOSITY|n.|inamicitá, hostilitá|
ANISEED|n.|anise|
ANKER|n.|ancre (-age)|
ANKLE|n.|malleol|
ANNALS|n.|annales, cronica|
ANNEAL|v.|temperar|
ANNEX|n.|anexe|
ANNEX|v.|anexer, adjunter|
ANNIHILATE|v.|anihilar (-ation), destructer, exterminar|
ANNIVERSARY|n.|anniversarie|
ANNOTATE|v.|anotar (-ation)|
ANNOUNCE|v.|anunciar, notificar, proclamar|
ANNOUNCEMENT|n.|anuncie, proclamation|
ANNOY|v.|vexar, molestar, trublar, genar|
ANNUAL|n.|(book) annuarium; (plant) annuale|
ANNUAL|adj.|annual|
ANNUITY|n.|annuitá|
ANNUL|v.|anullar, abolir, abrogar|
ANNUNCIATION|n.|Anunciation|
ANODE|n.|anode|
ANODYNE|n.|anodine, dedolorative|
ANOINT|v.|unguentar, uncter|
ANOMALY|n.|anomalie|
ANON|adv.|strax; (later) bentost; depoy|
ANONYMOUS|adj.|anonim (-itá)|
ANOTHER|adj., pron.|altri, ancor un|
ANSERINE|adj.|gansin; stult|
ANSWER|v.|responder|
ANSWER|n.|replica, response|
ANSWER FOR|v.|responsar|
ANT|n.|formíca|
ANTAGONISM|n.|antagonisme, oposition|
ANTARCTIC|adj.|antarctic|
ANTE|prefix|ante-datar, -natal etc.|
ANTECEDENT|adj.|antecedent, anteyan, anteriori|
ANTELOPE|n.|antilop|
ANTENNA|n.|antenne|
ANTERIOR|adj.|anteriori|
ANTHEM|n.|himne, antifon; arie national|
ANTHER|n.|antere|
ANTHILL|n.|formiciera|
ANTHOLOGY|n.|antologie|
ANTHRACITE|n.|antracite|
ANTHRAX|n.|antraxe|
ANTHROPO|prefix|antropo-logo, -metric|
ANTI|prefix|anti-semite, -septic etc.|
ANTICIPATE|v.|anticipar (-ation)|
ANTICS|n.|drolleríe, gestes grotesc|
ANTIDOTE|n.|antidot, antitoxine|
ANTIMONY|n.|antimon|
ANTIPATHY|n.|antipatíe|
ANTIPODES|n.|antipode|
ANTIQUARIAN|adj.|antiquaric|
ANTIQUARIAN|n.|antiquario|
ANTIQUATED|adj.|antiquat, obsolet|
ANTIQUITY|n.|antiquitá|
ANTIRRHINUM|n.|antirrínum, bocca de leon|
ANTITHESIS|n.|antitese|
ANTLER|n.|cornament, cornatura|
ANUS|n.|ánus|
ANVIL|n.|incude|
ANXIETY|n.|anxietá|
ANXIOUS|adj.|íntranquil, anxiosi; tre desirosi|
ANY|adj., pron.|alquel, quelcunc; (any kind of) alqual, qualcunc. Often omitted|
ANYBODY|n.|(interr.) alcun, alquí, alquem; (no matter who(m)) quicunc, quemcunc|
ANYHOW|adv.|alquam; (no matter how) quamcunc|
ANYTHING|n.|(interr.) alquó; (no matter what) quocunc|
ANYTHING BUT||omno quam| XXX FIXME --
ANYWHERE|adv.|(interr.) alcú; (no matter where) ucunc|
APACE|adv.|rapidmen, hastosimen|
APART|adj.|apart, separat, isolat, desunit|
APART FROM THAT|adv.|ultra to|
APATHETIC|adj.|apátic|
APATHY|n.|apatíe|
APE|v.|imitachar, simiar|
APE|n.|simio|
APERIENT|n.|purgative, laxative|
APERTURE|n.|apertura, intersticie|
APEX|n.|punta, sómmite, culmine|
APHORISM|n.|aforisme|
APIARIST|n.|apicultor|
APIARY|n.|apiera|
APIECE|adv.|(por) chascun|
APOGEE|n.|apogé|
APOLOGIZE|v.|demandar pardon|
APOLOGY|n.|excusa, apologie|
APOPLECTIC|adj.|apoplectic|
APOPLEXY|n.|apoplexie|
APOSTASY|n.|apostasie|
APOSTATE|n.|apostatico|
APOSTLE|n.|apóstol (-ic), disoiple|
APOSTROPHE|n.|apostrof|
APOTHECARY|n.|apotecario, farmacist|
APOTHEGM|n.|maxime, aforisme|
APOTHEOSIS|n.|apoteose|
APPAL|v.|aterrer, decoragear|
APPANAGE|n.|apanage|
APPARATUS|n.|aparate|
APPAREL|n.|vestiment, costume|
APPARENT|adj.|aparent (-ie), semblant|
APPARITION|n.|aparition, fantom, spírite|
APPEAL|n.|apelle|
APPEAL|v.|apellar; implorar, suplicar|
APPEAR|v.|aparir; (seem) aparer (-entie), semblar|
APPEARANCE|n.|aspecte, semblantie|
APPEASE|v.|calmar, quietar, tranquilisar|
APPELLANT|n.|apellante, acusator|
APPEND|v.|anexer, adjunter. apender|
APPENDIX|n.|apéndice (-ite)|
APPERTAIN|v.|apartener|
APPETISING|adj.|apetitisant|
APPETITE|n.|apetite|
APPLAUD|v.|aplauder; (clap) claccar|
APPLAUSE|n.|aplause|
APPLE|n.|pom (-iero)|
APPLIANCE|n.|aparate, utensile, expediente, machine|
APPLICABLE|adj.|aplicábil (-itá)|
APPLY|v.|aplicar (-abil, -ation)|
APPLY ONESELF TO|v.|devoer se a|
APPLY TO|v.|tornar se a|
APPOINT|v.|fixar, destinar, etablisser; (a person) nominar, electer|
APPOINTMENT|n.|rendevú, nomination, oficie|
APPORTION|v.|partir, aportionar, divider|
APPOSITE|adj.|apt, convenent|
APPOSITION|n.|aposition|
APPRAISE|v.|apreciar, taxar, evaluar, estimar|
APPRECIATE|v.|apreciar, estimar|
APPREHEND|v.|percepter, comprender; arestar|
APPREHENSIVE|adj.|ínquiet|
APPRENTICE|n.|aprentiso (-age)|
APPRISE|v.|avisar, informar, notificar|
APPROACH|v.|aproximar se, avicinar se, ear al incontra de|
APPROBATION|n.|aprobation|
APPROPRIATE|v.|apropriar (-ation)|
APPROPRIATE|adj.|convenent, scope-conform, apt|
APPROVE|v.|aprobar|
APPROXIMATE|v.|aproximar (se)|
APPROXIMATE|adj.|aproximativ|
APPROXIMATELY|adv.|circa|
APPURTENANCES|n.|accessories, garnitura, requisites|
APRICOT|n.|abricot|
APRIL|n.|april|
APRON|n.|avantale|
APROPOS|adv.|apropó|
APSE|n.|apside, altar-niche|
APT|adj.|apt, inclinat|
AQUARELLE|n.|aquarelle|
AQUARIUM|n.|aquarium|
AQUATIC|adj.|aquatic|
AQUEDUCT|n.|aqueducte|
AQUILINE|adj.|aquilin|
ARABESQUE|n.|arabesca|
ARABLE|adj.|arabil, plugabil|
ARBITER|n.|arbitre (-ari)|
ARBITRATE|v.|arbitrar (-ation, -ator)|
ARBORESCENT|adj.|arboratri|
ARBOUR|n.|pérgola, laube|
ARC|n.|arc (-ade, -ero)|
ARCH|adj.|friponi. (prefix) archi-angel, -episcop, etc.|
ARCH|n.|arc, ogive|
ARCHAIC|adj.|arcaic|
ARCHAISM|n.|arcaisme|
ARCHEOLOGIST|n.|archeologo (-ie)|
